COUNTRY,ISO CODE,TIME PERIOD,REMOVAL REQUESTS (COURT ORDERS),"REMOVAL REQUESTS (GOV’T AGENCY, POLICE, OTHER)",PERCENTAGE WHERE SOME CONTENT WITHHELD,ACCOUNTS SPECIFIED,ACCOUNTS WITHHELD,TWEETS WITHHELD,ACCOUNTS (TOS),ACCOUNTS (NO ACTION),FLAGS,LINKS,REPORT LINKS
Argentina,AR,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/ar.svg,/en/countries/ar.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Australia,AU,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/au.svg,/en/countries/au.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Brazil,BR,January - June 2015,17,4,38%*,28,1*,403,,,/content/dam/transparency-twitter/flags/1x1/br.svg,/en/countries/br.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Canada,CA,January - June 2015,0,1,0%,1,0,0,,,/content/dam/transparency-twitter/flags/1x1/ca.svg,/en/countries/ca.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Colombia,CO,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/co.svg,/en/countries/co.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Cyprus,CY,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/cy.svg,/en/countries/cy.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Ecuador,EC,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/ec.svg,/en/countries/ec.html,/en/removal-requests.html#removal-requests-jan-jun-2015
France,FR,January - June 2015,3,29,7%,37,0,2,,,/content/dam/transparency-twitter/flags/1x1/fr.svg,/en/countries/fr.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Germany,DE,January - June 2015,2,12,86%,20,10,6,,,/content/dam/transparency-twitter/flags/1x1/de.svg,/en/countries/de.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Greece,GR,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/gr.svg,/en/countries/gr.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Hong Kong,HK,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/hk.svg,/en/countries/hk.html,/en/removal-requests.html#removal-requests-jan-jun-2015
India,IN,January - June 2015,2,31,0%,65,0,0,,,/content/dam/transparency-twitter/flags/1x1/in.svg,/en/countries/in.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Indonesia,ID,January - June 2015,0,3,0%,878,0,0,,,/content/dam/transparency-twitter/flags/1x1/id.svg,/en/countries/id.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Iraq,IQ,January - June 2015,0,1,0%,0,0,0,,,/content/dam/transparency-twitter/flags/1x1/iq.svg,/en/countries/iq.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Ireland,IE,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/ie.svg,/en/countries/ie.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Italy,IT,January - June 2015,0,2,0%,3,0,0,,,/content/dam/transparency-twitter/flags/1x1/it.svg,/en/countries/it.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Japan,JP,January - June 2015,8,8,56%,186,0,220,,,/content/dam/transparency-twitter/flags/1x1/jp.svg,/en/countries/jp.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Kazakhstan,KZ,January - June 2015,0,1,0%,4,0,0,,,/content/dam/transparency-twitter/flags/1x1/kz.svg,/en/countries/kz.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Kenya,KE,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/ke.svg,/en/countries/ke.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Kuwait,KW,January - June 2015,-,-,-,-,-,-,,,/content/dam/transparency-twitter/flags/1x1/kw.svg,/en/countries/kw.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Malaysia,MY,January - June 2015,0,1,0%,1,0,0,,,/content/dam/transparency-twitter/flags/1x1/my.svg,/en/countries/my.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Mexico,MX,January - June 2015,0,1,0%,1,0,0,,,/content/dam/transparency-twitter/flags/1x1/mx.svg,/en/countries/mx.html,/en/removal-requests.html#removal-requests-jan-jun-2015
Mongolia,MN,January - June 2015,0,5,0%,5,0,0,,,/content/dam/transparency-twitter/flags/1x1/mn.svg,/en/countries/mn.html,/en/removal-requests.html#removal-requests-jan-jun-2015
