TIME PERIOD,COUNTRY,ISO CODE,REMOVAL REQUESTS (COURT ORDERS),"REMOVAL REQUESTS (GOV’T AGENCY, POLICE, OTHER)",PERCENTAGE WHERE SOME CONTENT WITHHELD,ACCOUNTS SPECIFIED,ACCOUNTS WITHHELD,TWEETS WITHHELD,ACCOUNTS (TOS),ACCOUNTS (NO ACTION),FLAGS,LINKS,REPORT LINKS
January - June 2016,Argentina,AR,-,-,-,-,-,-,-,,/content/dam/transparency-twitter/flags/1x1/ar.svg,/content/transparency-twitter/en/countries/ar.html,/en/removal-requests.html#removal-requests-jan-jun-2016
January - June 2016,Australia,AU,0,5,20%,35,0,1,2,,/content/dam/transparency-twitter/flags/1x1/au.svg,/content/transparency-twitter/en/countries/au.html,/en/removal-requests.html#removal-requests-jan-jun-2016
January - June 2016,Azerbaijan,AZ,0,12,0%,12,0,0,9,,/content/dam/transparency-twitter/flags/1x1/az.svg,/content/transparency-twitter/en/countries/az.html,/en/removal-requests.html#removal-requests-jan-jun-2016
January - June 2016,Bosnia and Herzegovina,BA,-,-,-,-,-,-,-,,/content/dam/transparency-twitter/flags/1x1/ba.svg,/content/transparency-twitter/en/countries/ba.html,/en/removal-requests.html#removal-requests-jan-jun-2016
January - June 2016,Brazil,BR,21,19,5%,172,0,13,36,,/content/dam/transparency-twitter/flags/1x1/br.svg,/content/transparency-twitter/en/countries/br.html,/en/removal-requests.html#removal-requests-jan-jun-2016
January - June 2016,Canada,CA,0,11,0%,13,0,0,3,,/content/dam/transparency-twitter/flags/1x1/ca.svg,/content/transparency-twitter/en/countries/ca.html,/en/removal-requests.html#removal-requests-jan-jun-2016
January - June 2016,Chile,CL,1,0,0%,1,0,0,0,,/content/dam/transparency-twitter/flags/1x1/cl.svg,/content/transparency-twitter/en/countries/cl.html,/en/removal-requests.html#removal-requests-jan-jun-2016
January - June 2016,Colombia,CO,0,4,0%,4,0,0,2,,/content/dam/transparency-twitter/flags/1x1/co.svg,/content/transparency-twitter/en/countries/co.html,/en/removal-requests.html#removal-requests-jan-jun-2016
January - June 2016,Cyprus,CY,-,-,-,-,-,-,-,,/content/dam/transparency-twitter/flags/1x1/cy.svg,/content/transparency-twitter/en/countries/cy.html,/en/removal-requests.html#removal-requests-jan-jun-2016
January - June 2016,Czech Republuc,CZ,-,-,-,-,-,-,-,,/content/dam/transparency-twitter/flags/1x1/cz.svg,/content/transparency-twitter/en/countries/cz.html,/en/removal-requests.html#removal-requests-jan-jun-2016
